2019-01-14,19,18,20,20,10,1,0,0,0,0,2,3,2,2,0,3,3,5,3,13,12,15,8,13,9,15,12,15,12,14,10,14,14,11,15,10,13,11,11,15,18,14,15,9,15,15,19,17,16,16,20,17,4,5,0,0,2,1,2,2,1,1,2,2,2,5,9,12,13,12,11,8,9,15,14,11,14,10,13,14,7,13,11,13,11,11,12,11,15,15,12,13,14,16,17,16,0,2,0,1,4,2,1,0,0,0,2,3,19,23,21,22,21,22,17,14,10,13,14,15,13,12,10,14,12,8,14,13,11,16,12,14,12,14,12,9,9,9,14,12,10,8,8,3,0,2,1,0,4,2,1,1,0,0,1,1,13,13,21,24,23,16,12,17,17,13,14,14,15,13,10,9,15,12,10,13,12,12,11,14,13,13,13,10,11,7,13,8,9,10,8,6
2019-01-15,21,19,18,21,13,3,1,0,0,0,2,7,2,1,0,4,1,6,3,11,12,13,8,17,10,16,13,15,13,14,10,10,13,10,14,14,9,11,11,19,17,13,12,11,18,13,17,18,16,16,14,20,12,8,1,0,2,0,1,6,0,0,4,1,3,5,6,10,14,7,13,10,12,15,14,14,15,12,9,12,11,10,10,12,13,10,13,15,14,14,14,14,17,16,17,15,0,2,1,3,3,2,1,2,0,1,3,3,20,26,21,24,23,17,16,13,12,13,15,12,14,12,12,11,12,8,16,9,11,14,12,12,15,14,10,9,10,10,15,11,10,7,10,4,2,1,2,0,0,4,2,2,1,1,2,2,16,15,18,23,23,23,10,6,14,17,12,15,15,15,13,13,9,13,8,13,14,14,14,10,12,11,16,8,10,7,13,8,8,9,9,8
2019-01-16,20,19,19,20,7,3,0,1,0,0,2,5,2,2,0,3,1,6,4,13,13,12,9,13,9,15,12,15,12,14,10,14,16,11,13,9,11,11,12,16,17,13,15,8,17,14,17,19,18,19,18,13,4,4,0,0,0,2,4,1,1,2,0,2,4,3,11,9,14,10,10,11,9,13,15,14,13,8,15,16,12,13,9,12,11,8,15,14,13,15,14,12,13,17,14,18,0,1,2,0,5,3,1,0,0,0,2,6,22,20,20,23,20,21,16,13,10,14,15,13,14,11,11,13,12,9,15,13,10,15,14,14,12,15,11,8,10,10,13,12,10,8,9,2,1,1,2,0,3,3,1,1,0,0,1,1,14,17,21,19,17,24,15,18,13,10,13,13,13,12,12,7,16,9,15,11,10,15,14,13,9,13,15,12,11,9,11,7,11,11,7,8
2019-01-17,22,19,18,21,8,3,0,0,0,0,2,3,2,1,1,3,1,7,3,11,12,12,9,17,7,16,13,15,13,13,10,12,12,11,14,13,9,10,11,16,19,14,12,11,18,13,17,18,16,17,20,18,10,1,0,1,1,1,2,2,0,0,3,2,4,3,7,10,9,13,11,13,10,10,14,16,14,8,11,13,11,15,14,9,10,10,15,11,16,16,13,16,11,17,14,18,0,2,0,3,3,2,1,2,0,0,3,3,20,24,19,27,21,18,14,14,11,14,15,10,15,12,11,12,13,8,16,10,11,15,13,11,16,14,10,8,7,9,15,11,10,8,10,4,0,2,0,1,4,1,2,1,1,0,3,0,13,20,19,17,23,21,10,9,16,17,15,15,13,14,13,11,8,13,14,12,8,10,15,14,9,14,14,14,8,9,10,9,10,9,12,7
2019-01-18,20,20,19,19,9,3,0,0,0,0,1,6,1,1,0,4,1,6,4,13,12,14,9,13,8,15,12,13,12,16,10,14,14,10,14,10,12,12,11,14,19,13,15,9,17,14,17,20,18,20,20,17,6,3,0,0,1,1,2,4,0,2,2,1,4,4,8,9,12,14,8,8,8,15,12,15,10,13,6,15,14,10,10,8,14,14,13,12,14,15,14,15,10,15,16,17,0,2,2,2,2,2,1,0,0,0,3,5,19,23,21,22,21,21,18,12,11,14,14,13,16,11,11,14,13,7,14,12,11,15,13,14,13,14,12,10,10,9,14,11,10,8,7,4,1,1,2,3,2,2,1,0,1,0,2,2,12,17,23,18,22,18,14,14,16,13,10,12,15,9,10,11,13,13,15,8,11,11,14,15,12,11,14,13,12,8,10,7,9,15,8,6
2019-01-19,21,20,19,21,10,2,0,1,0,0,3,4,1,1,0,4,1,7,4,11,11,13,8,16,11,14,14,17,15,14,10,9,14,11,14,13,10,10,12,17,18,15,12,9,18,14,17,18,18,17,18,19,18,4,1,0,1,0,2,2,0,4,0,2,3,6,7,10,11,8,10,14,12,15,15,16,16,12,11,14,8,15,12,10,11,11,12,15,16,15,12,13,15,16,16,18,0,2,0,4,4,2,1,3,0,0,3,4,21,23,20,24,21,18,16,15,12,15,15,12,12,13,10,12,14,8,19,10,11,13,13,11,16,14,10,8,8,9,15,12,10,8,10,2,3,2,1,1,5,1,2,1,2,0,3,1,14,22,20,19,23,21,15,15,13,16,12,15,8,12,13,11,13,12,16,12,10,13,16,15,11,16,12,7,9,5,13,8,11,10,9,7
2019-01-20,22,19,18,20,8,3,1,0,0,0,1,4,3,2,0,4,1,6,4,13,12,13,8,14,9,16,12,13,12,15,11,14,13,12,13,10,11,11,12,15,16,16,13,9,15,15,16,19,17,18,19,16,5,4,1,1,1,0,1,3,4,1,3,1,3,7,7,13,14,8,8,14,13,15,10,13,14,11,11,13,14,13,11,12,10,11,13,16,11,16,14,14,12,14,15,16,1,1,2,1,2,2,1,1,0,1,1,5,20,22,22,21,20,19,17,13,11,13,14,14,14,10,12,13,13,8,14,11,10,15,13,14,14,14,10,10,8,9,14,13,9,8,9,3,2,2,1,1,2,2,1,1,1,0,2,2,15,20,21,15,22,20,18,16,14,13,14,14,11,11,13,13,14,8,12,10,12,12,16,14,11,14,14,9,10,5,12,8,10,11,8,9
2019-01-21,19,18,20,20,11,1,0,0,0,0,2,3,1,2,0,3,3,6,3,13,12,15,8,15,9,15,12,15,11,14,10,14,13,11,14,10,13,11,13,15,17,15,15,10,14,15,18,17,19,19,18,19,8,2,1,0,1,0,2,2,1,2,3,1,3,5,8,11,9,15,14,9,10,14,13,13,12,10,15,12,13,11,12,12,10,11,13,16,16,9,15,15,10,19,19,16,0,2,0,2,5,2,2,0,0,0,2,6,19,23,22,21,21,21,16,14,9,13,15,14,14,13,10,14,12,9,13,13,11,15,12,14,12,14,10,9,10,9,14,12,10,9,9,3,1,3,0,1,2,2,2,2,1,0,2,0,18,20,22,17,19,22,18,17,9,8,14,16,14,12,10,14,12,12,10,11,12,14,15,12,11,13,13,5,12,6,12,8,11,7,11,9
2019-01-22,21,19,18,21,15,3,1,0,0,0,1,8,2,1,0,4,1,7,3,11,14,13,8,19,11,15,13,14,12,14,10,11,13,9,12,14,9,11,14,18,15,14,11,12,19,13,17,18,16,18,19,19,10,3,1,0,1,0,3,4,1,3,1,2,2,7,8,10,12,8,11,16,13,14,14,10,15,11,12,11,9,9,12,8,10,11,13,12,16,15,16,12,15,16,17,15,0,2,1,3,3,2,2,2,0,1,3,5,19,26,22,23,22,18,16,13,10,13,16,12,13,12,12,13,12,9,14,10,11,15,12,11,15,14,8,9,9,10,15,11,10,8,11,4,3,1,1,1,2,4,2,2,1,0,2,2,19,19,20,19,21,21,14,17,15,9,14,12,12,14,12,11,12,11,13,9,12,13,13,11,9,14,11,9,9,8,12,9,10,10,9,12
2019-01-23,20,19,19,19,10,3,0,0,0,0,2,5,2,2,0,3,1,6,4,13,14,12,9,15,9,15,12,15,11,15,10,15,15,11,12,9,11,11,14,16,16,14,15,9,17,14,16,19,18,15,16,17,12,9,1,0,1,2,3,2,2,1,0,3,2,4,12,9,15,11,8,14,10,12,16,16,6,13,9,15,10,10,11,13,9,13,13,15,14,15,16,12,12,13,16,14,0,1,2,0,4,3,1,0,0,0,2,7,21,20,21,22,21,22,15,12,10,14,16,13,14,12,11,13,12,10,14,13,10,15,14,14,12,15,9,8,10,10,13,12,10,9,10,2,3,2,1,1,1,4,2,1,1,0,1,1,17,20,15,20,21,20,17,16,13,10,10,16,12,13,13,11,13,11,11,12,13,13,13,12,10,12,10,12,11,8,13,9,11,10,10,7
2019-01-24,22,19,18,22,11,4,0,0,0,0,2,3,2,1,1,3,1,7,4,11,13,12,10,18,8,15,13,15,12,13,10,13,12,11,13,13,9,10,13,16,16,16,11,12,20,13,17,18,18,17,18,19,8,10,4,4,1,1,2,1,0,3,2,1,2,6,4,10,13,11,9,16,13,14,13,14,10,10,14,13,9,15,8,13,10,11,12,15,13,15,15,18,13,16,13,14,0,2,0,3,3,3,2,1,0,0,3,6,20,25,20,26,21,20,14,14,10,14,15,11,14,12,11,13,13,9,14,11,11,15,13,11,16,14,9,8,7,9,15,11,10,9,11,4,3,1,0,1,3,2,1,1,2,2,3,2,20,18,18,18,25,21,12,9,13,17,14,15,13,10,16,13,13,11,14,6,12,16,13,12,13,13,12,9,9,8,8,7,12,9,12,11
2019-01-25,20,20,19,19,9,4,1,0,0,0,1,7,1,1,0,4,2,5,4,13,12,15,8,15,8,15,12,13,12,16,10,15,14,10,13,12,12,11,13,14,18,14,14,12,17,14,16,19,20,17,19,17,13,5,2,0,1,0,3,3,2,1,1,4,0,5,8,10,15,9,12,13,11,11,9,15,11,9,11,13,13,10,12,14,12,11,13,15,14,13,14,14,12,19,19,14,0,2,2,1,2,2,1,1,0,0,4,8,18,24,22,21,22,21,18,11,10,14,15,13,16,12,11,14,13,8,13,12,11,15,12,14,13,14,11,10,9,10,14,11,10,9,8,5,3,2,2,2,1,1,2,1,1,0,3,2,7,21,19,22,22,21,19,15,15,9,12,13,10,12,15,14,14,10,10,10,12,12,10,14,14,13,11,12,10,7,13,6,10,9,9,7
2019-01-26,20,21,19,23,12,2,1,1,0,0,3,4,0,1,0,4,2,6,5,11,12,14,9,16,13,15,12,16,14,13,10,10,14,11,13,15,10,10,14,17,15,17,13,10,18,14,16,18,14,18,20,18,12,6,4,1,2,0,1,3,0,1,2,4,2,4,8,10,12,8,13,13,14,12,15,16,11,12,10,11,13,11,12,12,8,9,12,14,16,16,17,13,16,18,13,18,0,2,0,4,4,3,2,2,0,0,3,7,21,24,22,24,21,20,17,14,10,15,15,13,10,11,11,13,14,9,17,11,11,13,12,11,16,14,11,8,8,10,15,12,10,9,12,2,2,3,1,3,2,3,2,1,2,1,2,4,20,20,20,16,24,22,17,16,12,10,15,16,10,11,11,10,14,12,14,14,12,13,13,11,16,12,13,6,5,6,12,12,10,12,11,8
2019-01-27,21,20,18,21,9,4,3,0,0,0,1,4,3,2,0,4,2,5,5,14,12,13,8,16,9,16,12,13,11,15,11,15,13,12,12,12,12,11,13,15,17,15,14,10,17,15,16,18,16,19,18,18,14,4,3,1,3,1,3,3,1,1,4,2,2,7,9,10,13,10,8,14,10,13,12,16,10,11,15,16,9,12,12,15,11,12,13,13,16,15,15,14,13,13,16,16,1,1,2,2,2,2,1,2,0,2,1,8,19,23,23,20,21,19,17,13,12,14,14,14,14,11,12,13,13,9,13,11,10,15,12,14,14,14,11,10,8,10,14,13,9,8,11,4,3,2,2,4,1,0,0,2,1,3,3,3,15,20,20,18,20,22,20,15,14,14,13,15,11,10,13,15,11,11,12,11,10,15,13,12,10,14,15,12,9,6,11,9,11,11,9,7
